,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Color_pre,DayuponOutcome,AboutAge,BreedMix,Breed_pre,Year,Month,YearMonth,Hour,Season,Quarter,Group,Size
79,25604,0,21420,4,SCRP,0,3,21,640,38,0,730,20,1,80,2,11,26,19,3,3,8,5
80,17798,1,21319,0,Foster,1,2,5,449,318,22,365,2,0,61,2,11,26,12,3,3,6,3
81,23309,0,19083,2,Suffering,0,4,20,640,63,1,14,2,1,80,2,8,23,12,0,2,8,5
82,19353,1,15533,4,Partner,0,4,29,1251,260,16,28,2,1,184,2,4,19,18,1,1,11,8
83,23891,0,19564,4,SCRP,0,1,21,640,63,1,730,20,1,80,2,9,24,9,0,3,8,5
84,14102,1,12907,2,Suffering,1,2,10,1066,89,2,4380,20,1,159,2,1,16,17,3,0,5,2
85,12239,0,9245,0,NaN,1,2,5,577,130,2,365,2,1,70,1,8,11,18,0,2,1,3
86,19775,1,17111,0,Foster,0,2,19,640,5,0,60,2,1,80,2,6,21,15,2,2,8,5
87,21150,0,17001,4,Partner,0,1,20,640,5,0,14,2,1,80,2,6,21,15,2,2,8,5
88,7505,0,5065,4,Partner,1,0,24,847,38,0,90,2,1,124,1,3,6,18,1,1,4,1
89,3569,0,1321,0,NaN,0,3,24,637,139,4,90,2,1,79,0,10,1,15,0,3,9,6
90,25364,1,21267,0,NaN,1,2,32,1105,98,2,150,2,1,161,2,11,26,14,3,3,12,2
91,11867,1,22573,0,NaN,1,3,26,322,5,0,1095,4,1,42,3,1,28,14,3,0,7,1
92,6917,1,4656,4,Partner,1,3,39,908,320,22,2555,8,0,127,1,3,6,11,1,1,3,9
93,7116,1,12842,2,Aggressive,1,3,21,696,36,0,730,20,1,98,2,1,16,18,3,0,0,1
94,12544,1,11956,0,Foster,0,3,28,640,5,0,120,2,1,80,1,11,14,15,3,3,8,5
95,24591,1,20505,0,NaN,1,3,43,192,329,22,3285,10,1,22,2,10,25,14,0,3,1,3
96,25297,1,21045,4,Partner,1,2,38,249,38,0,210,2,1,39,2,11,26,15,3,3,0,2
97,10231,0,7383,0,NaN,0,2,19,640,38,0,60,2,1,80,1,6,9,19,2,2,8,5
98,13613,0,10272,4,SCRP,0,1,26,640,38,0,1095,4,1,80,1,9,12,9,0,3,8,5
99,15539,0,12331,0,NaN,1,2,26,280,194,10,1095,4,1,40,2,0,15,16,3,0,5,3
100,8504,1,5892,0,NaN,1,2,34,450,289,18,1825,6,1,61,1,4,7,17,1,1,6,3
101,26119,1,22365,4,Partner,1,2,34,307,98,2,1825,6,1,42,3,0,27,12,3,0,7,1
102,2765,0,464,4,Partner,0,0,20,637,41,1,14,2,1,79,0,9,0,11,0,3,9,6
103,21509,0,17428,4,Partner,0,4,20,640,5,0,14,2,1,80,2,6,21,14,2,2,8,5
104,4978,1,3078,4,Partner,0,3,30,640,291,19,1460,20,1,80,1,0,3,14,3,0,8,5
105,17461,1,14122,3,NaN,1,2,30,365,289,18,1460,20,1,52,2,3,18,18,1,1,5,3
106,21256,1,17223,0,NaN,0,2,19,640,104,2,60,2,1,80,2,6,21,18,2,2,8,5
107,4012,1,2090,3,NaN,1,3,21,450,36,0,730,20,1,61,0,11,2,12,3,3,6,3
108,6349,1,4227,0,NaN,1,2,21,626,318,22,730,20,1,76,1,2,5,18,1,0,2,9
109,6446,1,4348,3,NaN,1,2,43,559,25,0,3285,10,1,70,1,2,5,11,1,0,1,3
110,5591,1,3343,3,NaN,1,2,34,167,307,21,1825,6,1,22,1,1,4,18,3,0,1,3
111,1645,1,1738,2,Aggressive,1,2,5,463,362,23,365,2,1,61,0,11,2,16,3,3,6,3
112,2080,1,582,0,NaN,1,3,21,1066,185,7,730,20,1,159,0,9,0,16,0,3,5,2
113,7788,0,5308,4,Partner,0,1,25,640,104,2,21,2,1,80,1,4,7,15,1,1,8,5
114,16959,1,16758,4,Partner,1,1,32,1066,329,22,150,2,1,159,2,6,21,15,2,2,5,2
115,15908,0,12582,2,Suffering,0,1,37,640,216,13,2190,20,1,80,2,0,15,16,3,0,8,5
116,6215,1,4183,0,NaN,1,3,5,450,274,18,365,2,1,61,1,2,5,15,1,0,6,3
117,23754,1,20209,4,Partner,1,1,24,450,38,0,90,2,1,61,2,10,25,0,0,3,6,3
118,24018,1,19925,4,Partner,0,0,2,632,139,4,30,2,1,78,2,9,24,18,0,3,10,7
119,18143,1,14703,3,NaN,1,3,26,450,88,2,1095,4,1,61,2,4,19,16,1,1,6,3
120,6897,1,4750,3,NaN,1,2,34,559,5,0,1825,6,1,70,1,3,6,17,1,1,1,3
121,8289,1,5793,0,NaN,1,2,41,988,5,0,2920,20,1,137,1,4,7,11,1,1,5,9
122,12439,0,9405,0,Offsite,1,3,19,847,38,0,60,2,1,124,1,8,11,14,0,2,4,1
123,14167,0,10765,2,Suffering,0,0,39,640,296,20,2555,8,1,80,1,10,13,11,0,3,8,5
124,12747,1,9735,0,NaN,0,0,19,640,5,0,60,2,1,80,1,9,12,18,0,3,8,5
125,6329,1,9140,0,NaN,1,2,34,1065,5,0,1825,6,0,159,1,8,11,17,0,2,5,2
126,25934,1,22439,0,NaN,1,2,5,1066,329,22,365,2,1,159,3,0,27,17,3,0,5,2
127,11624,0,8599,4,SCRP,0,1,24,640,104,2,90,2,1,80,1,7,10,9,2,2,8,5
128,17106,1,13744,3,NaN,1,2,21,450,130,2,730,20,1,61,2,2,17,18,1,0,6,3
129,110,1,12548,3,NaN,1,3,43,847,165,5,3285,10,1,124,2,0,15,11,3,0,4,1
130,1998,1,19869,0,NaN,1,3,26,1066,250,14,1095,4,1,159,2,9,24,17,0,3,5,2
131,24023,1,19967,3,NaN,0,3,26,640,139,4,1095,4,1,80,2,9,24,18,0,3,8,5
132,21266,1,22056,0,NaN,1,3,5,469,38,0,365,2,1,61,3,0,27,14,3,0,6,3
133,15373,1,12234,4,Partner,1,3,21,450,36,0,730,20,1,61,2,0,15,15,3,0,6,3
134,16069,1,21277,3,NaN,1,3,5,1065,89,2,365,2,0,159,2,11,26,17,3,3,5,2
135,8223,1,6224,4,Partner,0,2,21,1251,186,8,730,20,1,184,1,5,8,16,2,1,11,8
136,16819,1,15041,3,NaN,1,3,21,1313,88,2,730,20,1,202,2,4,19,15,1,1,3,3
137,9337,0,6447,4,SCRP,0,0,21,640,86,1,730,20,1,80,1,5,8,9,2,1,8,5
138,24116,0,19804,4,SCRP,0,4,24,640,296,20,90,2,1,80,2,9,24,9,0,3,8,5
139,13111,1,11018,0,Foster,1,3,2,958,307,21,30,2,1,135,1,10,13,18,0,3,6,9
140,10998,0,8064,0,NaN,0,2,19,640,220,13,60,2,1,80,1,7,10,13,2,2,8,5
141,5602,0,3451,0,Offsite,0,2,6,637,167,6,300,2,1,79,1,1,4,19,3,0,9,6
142,26261,1,22611,4,Partner,0,3,21,637,111,2,730,20,1,79,3,1,28,16,3,0,9,6
143,18849,1,16449,0,NaN,0,3,19,637,139,4,60,2,1,79,2,5,20,15,2,1,9,6
144,24246,1,20124,0,NaN,1,2,36,847,358,23,180,2,1,124,2,10,25,19,0,3,4,1
145,23074,1,20283,0,NaN,0,3,19,640,104,2,60,2,1,80,2,10,25,19,0,3,8,5
146,12677,0,9557,0,NaN,1,3,5,559,274,18,365,2,1,70,1,8,11,18,0,2,1,3
147,13155,1,10234,4,Partner,1,0,36,559,130,2,180,2,1,70,1,9,12,14,0,3,1,3
148,8597,1,5985,0,NaN,0,3,5,640,38,0,365,2,1,80,1,5,8,17,2,1,8,5
149,12317,0,9172,4,Partner,0,1,25,640,139,4,21,2,1,80,1,8,11,18,0,2,8,5
150,21328,1,22849,0,Foster,0,2,21,640,104,2,730,20,1,80,3,1,28,14,3,0,8,5
151,18417,1,20473,0,NaN,1,3,8,234,86,1,330,2,1,35,2,10,25,13,0,3,12,9
152,5998,0,3758,4,Partner,1,2,24,1170,307,21,90,2,1,170,1,2,5,16,1,0,5,9
153,1481,1,3307,3,NaN,1,3,21,548,88,2,730,20,0,71,1,1,4,12,3,0,12,9
154,11065,1,9568,4,Partner,1,2,21,1066,226,14,730,20,1,159,1,8,11,12,0,2,5,2
155,21109,1,17963,0,NaN,1,2,21,1066,130,2,730,20,1,159,2,7,22,11,2,2,5,2
156,9829,1,6932,0,NaN,0,3,28,631,139,4,120,2,0,78,1,6,9,18,2,2,10,7
157,11174,0,8242,4,Partner,1,0,28,585,226,14,120,2,1,70,1,7,10,15,2,2,1,3
158,12358,0,9250,4,SCRP,0,0,32,640,291,19,150,2,1,80,1,8,11,9,0,2,8,5
159,24062,1,21290,0,Foster,0,2,19,640,16,0,60,2,1,80,2,11,26,11,3,3,8,5
160,20392,1,17513,4,Partner,1,2,39,450,130,2,2555,8,1,61,2,6,21,15,2,2,6,3
161,25372,1,22264,0,Foster,0,2,30,640,38,0,1460,20,1,80,3,0,27,16,3,0,8,5
162,22953,0,18724,4,Partner,0,0,25,640,304,20,21,2,1,80,2,8,23,11,0,2,8,5
163,25173,1,21054,0,NaN,1,2,36,249,38,0,180,2,1,39,2,11,26,17,3,3,0,2
164,21829,1,17778,0,NaN,1,0,32,847,38,0,150,2,1,124,2,7,22,17,2,2,4,1
165,26092,1,22011,3,NaN,1,3,41,923,318,22,2920,20,0,130,3,0,27,11,3,0,6,4
166,21106,0,17212,0,NaN,0,2,19,640,5,0,60,2,1,80,2,6,21,17,2,2,8,5
167,20615,1,16770,0,NaN,0,3,2,640,68,1,30,2,1,80,2,6,21,18,2,2,8,5
168,26653,0,22779,3,NaN,1,3,32,847,318,22,150,2,1,124,3,1,28,18,3,0,4,1
169,8319,1,5939,4,Partner,0,1,2,640,104,2,30,2,1,80,1,4,7,13,1,1,8,5
170,13553,0,10250,4,SCRP,0,1,28,640,63,1,120,2,1,80,1,9,12,9,0,3,8,5
171,21685,1,17582,0,NaN,1,3,5,450,353,22,365,2,1,61,2,7,22,11,2,2,6,3
172,9323,1,8215,0,NaN,1,2,21,896,25,0,730,20,1,124,1,7,10,16,2,2,4,1
173,3219,1,981,4,Partner,0,3,9,640,296,20,4015,12,1,80,0,10,1,15,0,3,8,5
174,17992,0,16333,0,Foster,1,2,19,597,307,21,60,2,1,70,2,5,20,9,2,1,1,3
175,22208,1,18451,4,Partner,0,2,19,640,320,22,60,2,1,80,2,8,23,0,0,2,8,5
176,24304,1,20043,0,NaN,0,0,19,640,104,2,60,2,1,80,2,9,24,18,0,3,8,5
177,17788,1,14365,0,NaN,1,3,2,1111,26,0,30,2,1,161,2,3,18,14,1,1,12,2
178,18687,1,15307,3,NaN,1,3,39,481,353,22,2555,8,1,61,2,4,19,11,1,1,6,3
179,8364,0,5661,4,Partner,0,1,27,640,168,6,4,2,1,80,1,4,7,13,1,1,8,5
180,24783,1,20315,3,NaN,1,2,30,1254,342,22,1460,20,0,185,2,10,25,13,0,3,7,2
181,25096,1,21445,4,Partner,1,3,21,74,289,18,730,20,1,15,2,11,26,0,3,3,0,2
182,24225,1,20472,3,NaN,1,3,5,1116,320,22,365,2,1,163,2,10,25,13,0,3,4,2
183,25438,1,21123,3,NaN,1,2,21,1066,98,2,730,20,1,159,2,11,26,17,3,3,5,2
184,12028,0,8915,4,Partner,0,0,29,637,104,2,28,2,1,79,1,8,11,18,0,2,9,6
185,23735,1,20427,4,Partner,0,0,5,640,38,0,365,2,1,80,2,10,25,11,0,3,8,5
186,18405,1,14960,0,NaN,1,3,21,1373,286,18,730,20,1,219,2,4,19,17,1,1,6,4
187,2354,0,73,4,SCRP,0,1,6,640,216,13,300,2,1,80,0,9,0,12,0,3,8,5
188,16710,1,13424,4,Partner,1,3,30,696,318,22,1460,20,1,98,2,2,17,12,1,0,0,1
189,8936,1,7434,0,NaN,0,3,28,640,111,2,120,2,1,80,1,6,9,17,2,2,8,5
190,17326,1,14969,4,Partner,1,3,37,424,353,22,2190,20,1,57,2,4,19,11,1,1,0,2
191,18532,0,15022,0,NaN,1,3,42,962,38,0,270,2,1,136,2,4,19,17,1,1,3,3
192,23101,1,19003,0,NaN,1,3,26,830,226,14,1095,4,1,117,2,8,23,14,0,2,5,3
193,7017,1,10987,0,NaN,0,3,40,640,291,19,240,2,1,80,1,10,13,12,0,3,8,5
194,7498,1,5175,0,NaN,1,3,6,1166,232,14,300,2,1,168,1,4,7,16,1,1,12,9
195,10359,0,18451,4,Partner,0,2,5,640,339,22,365,2,1,80,2,8,23,0,0,2,8,5
196,23920,1,19989,0,NaN,1,2,5,407,48,1,365,2,1,57,2,9,24,16,0,3,0,2
197,19202,1,16684,0,NaN,1,2,5,847,38,0,365,2,1,124,2,6,21,18,2,2,4,1
198,6925,1,7703,0,Foster,1,2,24,847,358,23,90,2,1,124,1,6,9,15,2,2,4,1
199,3709,1,1341,3,NaN,1,1,37,450,163,5,2190,20,1,61,0,10,1,18,0,3,6,3
200,5134,0,2918,4,SCRP,0,4,5,632,5,0,365,2,1,78,1,0,3,15,3,0,10,7
201,6858,1,4649,3,NaN,1,2,21,45,289,18,730,20,1,10,1,3,6,10,1,1,12,9
202,3853,0,1594,0,NaN,1,3,34,549,289,18,1825,6,1,71,0,10,1,18,0,3,12,9
203,18511,0,14900,2,Suffering,0,2,10,632,220,13,4380,20,1,78,2,4,19,17,1,1,10,7
204,5447,1,4615,0,NaN,1,3,21,696,252,15,730,20,1,98,1,3,6,12,1,1,0,1
205,12740,1,10136,0,NaN,1,2,37,847,38,0,2190,20,1,124,1,9,12,18,0,3,4,1
206,20373,1,16432,0,NaN,0,2,24,640,5,0,90,2,1,80,2,5,20,18,2,1,8,5
207,5077,1,3098,3,NaN,1,3,40,617,307,21,240,2,1,75,1,1,4,11,3,0,12,9
208,2926,1,2296,4,Partner,0,2,5,640,5,0,365,2,1,80,0,11,2,15,3,3,8,5
209,24288,1,20075,4,Partner,0,0,13,640,5,0,5475,16,1,80,2,9,24,15,0,3,8,5
210,13539,0,10243,4,Partner,1,0,25,1116,165,5,21,2,1,163,1,9,12,17,0,3,4,2
211,14017,1,10748,0,NaN,1,2,32,595,329,22,150,2,1,70,1,10,13,16,0,3,1,3
212,7902,0,5497,0,NaN,1,2,21,975,38,0,730,20,1,136,1,4,7,19,1,1,3,3
213,12235,1,11967,0,Foster,1,3,21,1346,98,2,730,20,1,216,1,11,14,9,3,3,1,3
214,25210,1,20806,3,NaN,1,1,21,125,103,2,730,20,1,17,2,10,25,14,0,3,0,2
215,25909,0,21966,0,NaN,1,3,21,847,289,18,730,20,1,124,3,0,27,14,3,0,4,1
216,12315,0,9172,4,Partner,0,0,25,640,139,4,21,2,1,80,1,8,11,18,0,2,8,5
217,15235,1,15449,4,Partner,1,3,5,1066,113,2,365,2,1,159,2,4,19,13,1,1,5,2
218,17056,0,13700,4,SCRP,0,1,21,640,111,2,730,20,1,80,2,2,17,9,1,0,8,5
219,3072,1,834,4,Partner,0,1,29,640,104,2,28,2,1,80,0,9,0,15,0,3,8,5
220,6703,1,4620,4,Partner,1,2,30,450,329,22,1460,20,1,61,1,3,6,15,1,1,6,3
221,9604,0,6649,4,Partner,0,1,25,640,104,2,21,2,1,80,1,5,8,19,2,1,8,5
222,6420,1,5826,0,Foster,0,1,19,640,5,0,60,2,1,80,1,4,7,8,1,1,8,5
223,26411,1,22468,4,Partner,1,3,5,1170,320,22,365,2,1,170,3,1,28,15,3,0,5,9
224,7089,1,5914,0,Foster,1,3,19,665,130,2,60,2,1,86,1,4,7,16,1,1,12,9
225,3228,1,990,0,NaN,1,3,5,995,38,0,365,2,1,137,0,10,1,17,0,3,5,9
226,10281,0,7396,0,NaN,1,3,26,365,131,3,1095,4,1,52,1,6,9,17,2,2,5,3
227,224,1,2902,2,Aggressive,1,2,43,890,5,0,3285,10,1,124,1,0,3,18,3,0,4,1
228,2924,1,18643,3,NaN,0,3,21,640,320,22,730,20,1,80,2,8,23,15,0,2,8,5
229,3961,0,1635,4,Partner,1,3,34,754,38,0,1825,6,0,103,0,11,2,14,3,3,7,0
230,25275,1,20882,3,NaN,1,1,21,450,38,0,730,20,1,61,2,10,25,18,0,3,6,3
231,17939,1,14625,3,NaN,1,2,21,435,88,2,730,20,0,59,2,4,19,11,1,1,12,9
232,4070,1,20172,3,NaN,1,2,39,695,114,2,2555,8,0,98,2,10,25,16,0,3,0,1
233,10840,0,7817,4,SCRP,0,0,5,640,111,2,365,2,1,80,1,6,9,9,2,2,8,5
234,895,1,20663,0,NaN,0,3,37,640,38,0,2190,20,1,80,2,10,25,15,0,3,8,5
235,8802,1,7286,0,Foster,0,2,19,640,220,13,60,2,1,80,1,6,9,20,2,2,8,5
236,18356,1,14908,3,NaN,1,3,5,450,276,18,365,2,1,61,2,4,19,18,1,1,6,3
237,3480,0,1222,0,NaN,0,2,19,640,220,13,60,2,1,80,0,10,1,17,0,3,8,5
238,14001,1,10632,3,NaN,1,3,37,1105,89,2,2190,20,1,161,1,10,13,14,0,3,12,2
239,19008,0,15374,4,Partner,0,1,19,640,111,2,60,2,1,80,2,4,19,16,1,1,8,5
240,19960,1,16308,0,NaN,1,3,21,450,114,2,730,20,1,61,2,5,20,15,2,1,6,3
241,11179,1,8473,0,NaN,0,2,39,1251,186,8,2555,8,1,184,1,7,10,18,2,2,11,8
242,25240,1,21038,0,NaN,0,3,24,640,111,2,90,2,1,80,2,11,26,12,3,3,8,5
243,24791,1,20616,0,NaN,1,2,26,504,226,14,1095,4,1,64,2,10,25,18,0,3,3,2
244,6984,0,4959,4,SCRP,0,0,21,640,5,0,730,20,1,80,1,3,6,15,1,1,8,5
245,3900,0,1622,0,NaN,1,3,39,664,210,11,2555,8,0,86,0,11,2,17,3,3,12,9
246,18591,0,15287,2,Suffering,0,1,2,640,327,22,30,2,1,80,2,4,19,17,1,1,8,5
247,2571,1,1108,3,NaN,1,3,21,1066,130,2,730,20,1,159,0,10,1,19,0,3,5,2
248,21838,1,17693,3,NaN,1,0,32,307,38,0,150,2,1,42,2,7,22,0,2,2,7,1
249,795,1,15597,4,Partner,1,2,30,163,38,0,1460,20,1,21,2,5,20,11,2,1,1,2
250,1465,1,3811,3,NaN,1,2,21,847,131,3,730,20,1,124,1,2,5,17,1,0,4,1
251,26508,1,22562,4,Partner,1,3,39,4,307,21,2555,8,1,3,3,1,28,0,3,0,5,9
252,7079,1,6994,0,NaN,1,2,5,869,88,2,365,2,1,124,1,6,9,12,2,2,4,1
253,3239,0,1855,4,Partner,0,2,2,640,220,13,30,2,1,80,0,11,2,12,3,3,8,5
254,14714,1,12686,0,NaN,1,2,2,180,25,0,30,2,1,22,2,0,15,13,3,0,1,3
255,22934,1,19035,0,NaN,0,2,19,945,320,22,60,2,1,132,2,8,23,14,0,2,12,9
256,23722,0,19384,4,SCRP,0,0,26,640,41,1,1095,4,1,80,2,9,24,9,0,3,8,5
257,5713,1,7418,4,Partner,1,3,30,481,289,18,1460,20,1,61,1,6,9,13,2,2,6,3
258,1679,1,535,0,NaN,1,3,5,1066,38,0,365,2,1,159,0,9,0,12,0,3,5,2
259,21531,1,17644,0,NaN,1,3,21,681,38,0,730,20,1,95,2,7,22,18,2,2,12,9
260,19084,1,15456,4,Partner,1,3,7,517,131,3,3650,20,0,65,2,4,19,15,1,1,4,9
